,CMIP6 Compound Name,Physical Parameter,Title,Description,Dimensions,Spatial Shape,Coordinates,Temporal Shape,Cell Methods,Cell Measures,KET comments,correct dimensions,correct cell methods,variableRootDD (if different from Phys. Param.),Region input,recommended reporting grid,Region,Review Requested,dimensions for determining branding suffix,cell_methods for determining branding suffix,variableRootDD,branded variable name
881,Oyr.opottemptend,opottemptend,Tendency of Sea Water Potential Temperature Expressed as Heat Content,Tendency of heat content for a grid cell from all processes. Reported only for models that use potential temperature as prognostic field.,"longitude, latitude, olevel, time",Global ocean field on model levels,,time-intv,area: mean where sea time: mean,area: areacello volume: volcello,,,,,,ocean,glb,,"longitude, latitude, olevel, time",area: mean where sea time: mean,opottemptend,opottemptend_tavg-l-hxy-sea
882,fx.orog,orog,Surface Altitude,"height above the geoid; as defined here, ""the geoid"" is a surface of constant geopotential that, if the ocean were at rest, would coincide with mean sea level. Under this definition, the geoid changes as the mean volume of the ocean changes (e.g., due to glacial melt, or global warming of the ocean).  Reported here is the height above the present-day geoid (0.0 over ocean).","longitude, latitude",Global field (single level),,,area: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude",area: mean,orog,orog_ti-u-hxy-u
883,ImonAnt.orog,orog,Surface Altitude,"The surface called ""surface"" means the lower boundary of the atmosphere. Altitude is the (geometric) height above the geoid, which is the reference geopotential surface. The geoid is similar to mean sea level.","xant, yant, time",Polar stereographic grid (Antarctic),,time-intv,area: time: mean where ice_sheet,area: areacellg,"see *** comment below spreadsheet.  Can eliminate because will be identical to orogIs, which is renamed orog","longitude, latitude, time",,,,ice sheet,ant,,"longitude, latitude, time",area: time: mean where ice_sheet,orog,orog_tavg-u-hxy-is
884,ImonGre.orog,orog,Surface Altitude,"The surface called ""surface"" means the lower boundary of the atmosphere. Altitude is the (geometric) height above the geoid, which is the reference geopotential surface. The geoid is similar to mean sea level.","xgre, ygre, time",Polar stereographic grid (Greenland),,time-intv,area: time: mean where ice_sheet,area: areacellg,"see *** comment below spreadsheet.  Can eliminate because will be identical to orogIs, which is renamed orog","longitude, latitude, time",,,,ice sheet,gre,,"longitude, latitude, time",area: time: mean where ice_sheet,orog,orog_tavg-u-hxy-is
885,IyrAnt.orog,orog,Surface Altitude,This is needed in case the ice sheet elevation changes in time,"xant, yant, time",Polar stereographic grid (Antarctic),,time-intv,area: time: mean where ice_sheet,area: areacellg,see *** comment below spreadsheet.,"longitude, latitude, time",,,,ice sheet,ant,,"longitude, latitude, time",area: time: mean where ice_sheet,orog,orog_tavg-u-hxy-is
886,IyrGre.orog,orog,Surface Altitude,This is needed in case the ice sheet elevation changes in time,"xgre, ygre, time",Polar stereographic grid (Greenland),,time-intv,area: time: mean where ice_sheet,area: areacellg,"see *** comment below all listed variables.  When corrrected, this duplicates variable above and will not appear separately.","longitude, latitude, time",,,,ice sheet,gre,,"longitude, latitude, time",area: time: mean where ice_sheet,orog,orog_tavg-u-hxy-is
887,LImon.orogIs,orogIs,Ice Sheet Surface Altitude,"quantity averaged over ice_sheet (meaning grounded ice sheet and floating ice shelf) only, to avoid contamination from other surfaces (eg: permafrost)","longitude, latitude, time",Global field (single level),,time-intv,area: time: mean where ice_sheet,area: areacella,"root name should not include ""Is"" because that's included in the branding suffix. ",,,orog,,ice sheet,glb,,"longitude, latitude, time",area: time: mean where ice_sheet,orog,orog_tavg-u-hxy-is
888,Oyr.osaltdiff,osaltdiff,Tendency of Sea Water Salinity Expressed as Salt Content Due to Parameterized Dianeutral Mixing,Tendency of salt content for a grid cell from parameterized dianeutral mixing.,"longitude, latitude, olevel, time",Global ocean field on model levels,,time-intv,area: mean where sea time: mean,area: areacello volume: volcello,,,,,,ocean,glb,,"longitude, latitude, olevel, time",area: mean where sea time: mean,osaltdiff,osaltdiff_tavg-l-hxy-sea
889,Oyr.osaltpadvect,osaltpadvect,Tendency of Sea Water Salinity Expressed as Salt Content Due to Parameterized Eddy Advection,Tendency of salt content for a grid cell from parameterized eddy advection (any form of eddy advection).,"longitude, latitude, olevel, time",Global ocean field on model levels,,time-intv,area: mean where sea time: mean,area: areacello volume: volcello,,,,,,ocean,glb,,"longitude, latitude, olevel, time",area: mean where sea time: mean,osaltpadvect,osaltpadvect_tavg-l-hxy-sea
890,Oyr.osaltpmdiff,osaltpmdiff,Tendency of Sea Water Salinity Expressed as Salt Content Due to Parameterized Mesoscale Diffusion,Tendency of salt content for a grid cell from parameterized mesoscale eddy diffusion.,"longitude, latitude, olevel, time",Global ocean field on model levels,,time-intv,area: mean where sea time: mean,area: areacello volume: volcello,,,,,,ocean,glb,,"longitude, latitude, olevel, time",area: mean where sea time: mean,osaltpmdiff,osaltpmdiff_tavg-l-hxy-sea
891,Emon.osaltpsmadvect,osaltpsmadvect,Tendency of Sea Water Salinity Expressed as Salt Content Due to Parameterized Submesoscale Advection,Tendency of salt content for a grid cell from parameterized submesoscale eddy advection.,"longitude, latitude, olevel, time",Global ocean field on model levels,,time-intv,area: mean where sea time: mean,area: areacello volume: volcello,,,,,,ocean,glb,,"longitude, latitude, olevel, time",area: mean where sea time: mean,osaltpsmadvect,osaltpsmadvect_tavg-l-hxy-sea
892,Oyr.osaltpsmadvect,osaltpsmadvect,Tendency of Sea Water Salinity Expressed as Salt Content Due to Parameterized Submesoscale Advection,Tendency of salt content for a grid cell from parameterized submesoscale eddy advection.,"longitude, latitude, olevel, time",Global ocean field on model levels,,time-intv,area: mean where sea time: mean,area: areacello volume: volcello,,,,,,ocean,glb,,"longitude, latitude, olevel, time",area: mean where sea time: mean,osaltpsmadvect,osaltpsmadvect_tavg-l-hxy-sea
893,Oyr.osaltrmadvect,osaltrmadvect,Tendency of Sea Water Salinity Expressed as Salt Content Due to Residual Mean Advection,Tendency of salt content for a grid cell from residual mean  (sum of Eulerian mean + parameterized eddy-induced)  advection.,"longitude, latitude, olevel, time",Global ocean field on model levels,,time-intv,area: mean where sea time: mean,area: areacello volume: volcello,,,,,,ocean,glb,,"longitude, latitude, olevel, time",area: mean where sea time: mean,osaltrmadvect,osaltrmadvect_tavg-l-hxy-sea
894,Oyr.osalttend,osalttend,Tendency of Sea Water Salinity Expressed as Salt Content,Tendency of salt content for a grid cell from all processes.,"longitude, latitude, olevel, time",Global ocean field on model levels,,time-intv,area: mean where sea time: mean,area: areacello volume: volcello,,,,,,ocean,glb,,"longitude, latitude, olevel, time",area: mean where sea time: mean,osalttend,osalttend_tavg-l-hxy-sea
895,AERmon.pan,pan,PAN Volume Mixing Ratio,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.","longitude, latitude, alevel, time",Global field on model atmosphere levels,,time-intv,area: time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, alevel, time",area: time: mean,pan,pan_tavg-l-hxy-u
896,Eday.parasolRefl,parasolRefl,PARASOL Reflectance,PARASOL Reflectance,"longitude, latitude, sza5, time",Global field (single level),,time-intv,area: mean where sea time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, sza5, time",area: mean where sea time: mean,parasolRefl,parasolRefl_tavg-u-hxy-sea
897,Emon.parasolRefl,parasolRefl,PARASOL Reflectance,PARASOL Reflectance,"longitude, latitude, sza5, time",Global field (single level),,time-intv,area: mean where sea time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, sza5, time",area: mean where sea time: mean,parasolRefl,parasolRefl_tavg-u-hxy-sea
898,Lmon.pastureFrac,pastureFrac,Percentage of Land Which Is Anthropogenic Pasture,fraction of entire grid cell  that is covered by anthropogenic pasture.,"longitude, latitude, time, typepasture",Global field (single level),typepasture,time-intv,area: mean where land over all_area_types time: mean,area: areacella,"by not changing the cell_methods, the algorithm generating the branded variable names fails.  This cannot be easily remedied, so this change in the data request is essential.  The change will also  make these fractions consistent with other area fractions and ensure that area fraction is defined everywhere (even over sea).  Having it defined is important for the analysis of global datasets.",,"area: mean time:mean"" (or ""area time: mean"")",,,atmosphere,glb,,"longitude, latitude, time, typepasture","area: mean time:mean"" (or ""area time: mean"")",pastureFrac,pastureFrac_tavg-u-hxy-u
899,Emon.pastureFracC3,pastureFracC3,C3 Pasture Area Percentage,Percentage of entire grid cell covered by C3 pasture,"longitude, latitude, time, typec3pastures",Global field (single level),typec3pastures,time-intv,area: mean where land over all_area_types time: mean,area: areacella,"by not changing the cell_methods, the algorithm generating the branded variable names fails.  This cannot be easily remedied, so this change in the data request is essential.  The change will also  make these fractions consistent with other area fractions and ensure that area fraction is defined everywhere (even over sea).  Having it defined is important for the analysis of global datasets.",,"area: mean time:mean"" (or ""area time: mean"")",,,atmosphere,glb,,"longitude, latitude, time, typec3pastures","area: mean time:mean"" (or ""area time: mean"")",pastureFracC3,pastureFracC3_tavg-u-hxy-u
900,Emon.pastureFracC4,pastureFracC4,C4 Pasture Area Percentage,Percentage of entire grid cell covered by C4 pasture,"longitude, latitude, time, typec4pastures",Global field (single level),typec4pastures,time-intv,area: mean where land over all_area_types time: mean,area: areacella,"by not changing the cell_methods, the algorithm generating the branded variable names fails.  This cannot be easily remedied, so this change in the data request is essential.  The change will also  make these fractions consistent with other area fractions and ensure that area fraction is defined everywhere (even over sea).  Having it defined is important for the analysis of global datasets.",,"area: mean time:mean"" (or ""area time: mean"")",,,atmosphere,glb,,"longitude, latitude, time, typec4pastures","area: mean time:mean"" (or ""area time: mean"")",pastureFracC4,pastureFracC4_tavg-u-hxy-u
901,Omon.pbo,pbo,Sea Water Pressure at Sea Floor,"""Sea water pressure"" is the pressure that exists in the medium of sea water.  It includes the pressure due to overlying sea water, sea ice, air and any other medium that may be present.","longitude, latitude, depthseafloor, time",Global field at sea floor,,time-intv,area: mean where sea time: mean,area: areacello,"depthseafloor cannot be a coordinate because it varies with longitude and latitude.  This variable should be assigned a different standard name including ""at_sea_floor"" as in several existing standard names including sea_water_salinity_at_sea_floor.",,,,,ocean,glb,,"longitude, latitude, depthseafloor, time",area: mean where sea time: mean,pbo,pbo_tavg-u-hxy-sea
902,CFday.pctisccp,pctisccp,ISCCP Mean Cloud Top Pressure,time-means are weighted by the ISCCP Total Cloud Fraction - see  http://cfmip.metoffice.com/COSP.html,"longitude, latitude, time",Global field (single level),,time-intv,area: time: mean where cloud,area: areacella,correction,,area: time: mean where cloud (weighted by ISCCP total cloud area),,,atmosphere,glb,,"longitude, latitude, time",area: time: mean where cloud (weighted by ISCCP total cloud area),pctisccp,pctisccp_tavg-u-hxy-cl
903,CFmon.pctisccp,pctisccp,ISCCP Mean Cloud Top Pressure,time-means weighted by the ISCCP Total Cloud Fraction - see http://cfmip.metoffice.com/COSP.html,"longitude, latitude, time",Global field (single level),,time-intv,area: time: mean where cloud,area: areacella,correction,,area: time: mean where cloud (weighted by ISCCP total cloud area),,,atmosphere,glb,,"longitude, latitude, time",area: time: mean where cloud (weighted by ISCCP total cloud area),pctisccp,pctisccp_tavg-u-hxy-cl
904,Eday.pflw,pflw,Liquid Water Content of Permafrost Layer,liquid_water_content_of_permafrost_layer,"longitude, latitude, time",Global field (single level),,time-intv,area: mean where land time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, time",area: mean where land time: mean,pflw,pflw_tavg-u-hxy-lnd
905,LImon.pflw,pflw,Liquid Water Content of Permafrost Layer,"""where land over land"", i.e., this is the total mass of liquid water contained within the permafrost layer within the land portion of a grid cell divided by the area of the land portion of the cell.","longitude, latitude, time",Global field (single level),,time-intv,area: mean where land time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, time",area: mean where land time: mean,pflw,pflw_tavg-u-hxy-lnd
906,Omon.pfscint,pfscint,Integral wrt depth of seawater preformed salinity expressed as salt mass content,"This is a fundamental aspect of the changes in the hydrological cycle and their impact on the oceans, and due to new numerical schemes and vertical discretizations, it is important to calculate it consistently with the model formulation. ","longitude, latitude, swplayers, swplayers, time, depth0m, depth300m, depth700m, depth2000m",Global ocean field on layers,"depth0m,depth300m,depth700m,depth2000m",time-intv,area: mean where sea,area: areacello,"incorrect cell_methods and coordinates.  Are depth0m, depth300m, depth700m, depth2000m the swplayers requested values?   What is meant by a layer of depth 0?  Perhaps depth0m could be replaced by depth1m.  I presume observations are made through a finite thickness.  Also replace depth*** with olayer*** (e.g., olayer300m).  For compatabiliity with other dimensions replace ""swplayers"" with ""oplev4""","longitude, latitude, oplev4, time","The cell_methods should include a time ""method"" (is it ""time: mean""?)",,,ocean,glb,,"longitude, latitude, oplev4, time","The cell_methods should include a time ""method"" (is it ""time: mean""?)",pfscint,pfscint_tavg-u-hxy-u
907,AERmon.pfull,pfull,Pressure at Model Full-Levels,The atmospheric pressure at the model layer midpoints for all times and levels in the associated output variables,"longitude, latitude, alevel, time",Global field on model atmosphere levels,,time-intv,area: time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, alevel, time",area: time: mean,pfull,pfull_tavg-l-hxy-u
908,Amon.pfull,pfull,Pressure at Model Full-Levels,Air pressure on model levels,"longitude, latitude, alevel, time2",Global field on model atmosphere levels,,climatology,area: mean time: mean within years time: mean over years,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, alevel, time2",area: mean time: mean within years time: mean over years,pfull,pfull_tclm-l-hxy-u
909,CF3hr.pfull,pfull,Pressure at Model Full-Levels,Air pressure on model levels,"longitude, latitude, alevel, time1",Global field on model atmosphere levels,,time-point,area: mean time: point,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, alevel, time1",area: mean time: point,pfull,pfull_tpt-l-hxy-u
910,CFday.pfull,pfull,Pressure at Model Full-Levels,Air pressure on model levels,"longitude, latitude, alevel, time",Global field on model atmosphere levels,,time-intv,area: time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, alevel, time",area: time: mean,pfull,pfull_tavg-l-hxy-u
911,CFsubhr.pfull,pfull,Pressure at Model Full-Levels,Air pressure on model levels,"alevel, site, time1",Atmospheric profiles at specified sites,,time-point,area: point time: point,,,,,,,none,glb,,"alevel, site, time1",area: point time: point,pfull,pfull_tpt-l-hxys-u
912,Oday.ph200,ph,pH,negative log10 of hydrogen ion concentration with the concentration expressed as mol H kg-1.,"longitude, latitude, time, swp20bar",Global field (single level),swp20bar,time-intv,area: time: mean,area: areacello,"name of dimension changed to ""oplev20bar"" consistent with branded variables.  Include ""where sea"" in cell_methods.","longitude, latitude, time, oplev20bar",area: mean where sea time: mean,,,ocean,glb,,"longitude, latitude, time, oplev20bar",area: mean where sea time: mean,ph,ph_tavg-u-hxy-sea
913,Omon.ph,ph,pH,negative log10 of hydrogen ion concentration with the concentration expressed as mol H kg-1.,"longitude, latitude, olevel, time",Global ocean field on model levels,,time-intv,area: mean where sea time: mean,area: areacello volume: volcello,,,,,,ocean,glb,,"longitude, latitude, olevel, time",area: mean where sea time: mean,ph,ph_tavg-l-hxy-sea
914,AERmon.phalf,phalf,Pressure on Model Half-Levels,The atmospheric pressure at the model layer interfaces for all times and levels in the associated output variables,"longitude, latitude, alevhalf, time",Global field on model atmosphere half-levels,,time-intv,area: time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, alevhalf, time",area: time: mean,phalf,phalf_tavg-l-hxy-u
915,Amon.phalf,phalf,Pressure on Model Half-Levels,Air pressure on model half-levels,"longitude, latitude, alevhalf, time2",Global field on model atmosphere half-levels,,climatology,area: mean time: mean within years time: mean over years,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, alevhalf, time2",area: mean time: mean within years time: mean over years,phalf,phalf_tclm-l-hxy-u
916,CFday.phalf,phalf,Pressure on Model Half-Levels,Air pressure on model half-levels,"longitude, latitude, alevhalf, time",Global field on model atmosphere half-levels,,time-intv,area: time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, alevhalf, time",area: time: mean,phalf,phalf_tavg-l-hxy-u
917,CFsubhr.phalf,phalf,Pressure on Model Half-Levels,Air pressure on model half-levels,"alevhalf, site, time1",Atmospheric profiles (half levels) at specified sites,,time-point,area: point time: point,,,,,,,none,glb,,"alevhalf, site, time1",area: point time: point,phalf,phalf_tpt-l-hxys-u
918,Omon.phcint,phcint,Integrated Ocean Heat Content from Potential Temperature ,This is the vertically-integrated heat content derived from potential temperature (thetao).,"longitude, latitude, swplayers, swplayers, time, depth0m, depth300m, depth700m, depth2000m",Global ocean field on layers,"depth0m,depth300m,depth700m,depth2000m",time-intv,area: mean where sea,area: areacello,"incorrect cell_methods and coordinates.  Are depth0m, depth300m, depth700m, depth2000m the swplayers requested values?   What is meant by a layer of depth 0?  Perhaps depth0m could be replaced by depth1m.  I presume observations are made through a finite thickness.  Also replace depth*** with olayer*** (e.g., olayer300m).  For compatabiliity with other dimensions replace ""swplayers"" with ""oplev4""","longitude, latitude, oplev4, time","The cell_methods should include a time ""method"" (is it ""time: mean""?)",,,ocean,glb,,"longitude, latitude, oplev4, time","The cell_methods should include a time ""method"" (is it ""time: mean""?)",phcint,phcint_tavg-u-hxy-u
919,Oday.phos,phos,Surface pH,Near surface negative log10 of hydrogen ion concentration with the concentration expressed as mol H kg-1.,"longitude, latitude, time",Global field (single level),,time-intv,area: mean where sea time: mean,area: areacello,"""os"" indicated by suffix and recorded in dimension","longitude, latitude, time, depth0m",,ph,,ocean,glb,,"longitude, latitude, time, depth0m",area: mean where sea time: mean,ph,ph_tavg-z0m-hxy-sea
920,Omon.phos,phos,Surface pH,negative log10 of hydrogen ion concentration with the concentration expressed as mol H kg-1.,"longitude, latitude, time",Global field (single level),,time-intv,area: mean where sea time: mean,area: areacello,"""os"" indicated by suffix and recorded in dimension","longitude, latitude, time, depth0m",,ph,,ocean,glb,,"longitude, latitude, time, depth0m",area: mean where sea time: mean,ph,ph_tavg-z0m-hxy-sea
921,AERmon.photo1d,photo1d,"Photolysis Rate of Ozone (O3) to Excited Atomic Oxygen (the Singlet D State, O1D)",proposed name: photolysis_rate_of_ozone_to_O1D,"longitude, latitude, alevel, time",Global field on model atmosphere levels,,time-intv,area: time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, alevel, time",area: time: mean,photo1d,photo1d_tavg-l-hxy-u
922,Oday.phyc200,phyc,Phytoplankton Carbon Concentration,"sum of phytoplankton carbon component concentrations. In most (all?) cases this is the sum of phycdiat and phycmisc (i.e., ""Diatom Carbon Concentration"" and ""Non-Diatom Phytoplankton Carbon Concentration""","longitude, latitude, time, swp20bar",Global field (single level),swp20bar,time-intv,area: time: mean,area: areacello,"name of dimension changed to ""oplev20bar"" consistent with branded variables.  Include ""where sea"" in cell_methods.","longitude, latitude, time, oplev20bar",area: mean where sea time: mean,,,ocean,glb,,"longitude, latitude, time, oplev20bar",area: mean where sea time: mean,phyc,phyc_tavg-u-hxy-sea
923,Omon.phyc,phyc,Phytoplankton Carbon Concentration,"sum of phytoplankton carbon component concentrations.  In most (all?) cases this is the sum of phycdiat and phycmisc (i.e., ""Diatom Carbon Concentration"" and ""Non-Diatom Phytoplankton Carbon Concentration""","longitude, latitude, olevel, time",Global ocean field on model levels,,time-intv,area: mean where sea time: mean,area: areacello volume: volcello,,,,,,ocean,glb,,"longitude, latitude, olevel, time",area: mean where sea time: mean,phyc,phyc_tavg-l-hxy-sea
924,Oday.phycalc,phycalc,Mole Concentration of Calcareous Phytoplankton Expressed as Carbon in Sea Water,Mole Concentration of Calcareous Phytoplankton Expressed as Carbon in Sea Water,"longitude, latitude, olevel, time",Global ocean field on model levels,,time-intv,area: mean where sea time: mean,area: areacello volume: volcello,,,,,,ocean,glb,,"longitude, latitude, olevel, time",area: mean where sea time: mean,phycalc,phycalc_tavg-l-hxy-sea
925,Omon.phycalc,phycalc,Mole Concentration of Calcareous Phytoplankton Expressed as Carbon in Sea Water,carbon concentration from calcareous (calcite-producing) phytoplankton component alone,"longitude, latitude, olevel, time",Global ocean field on model levels,,time-intv,area: mean where sea time: mean,area: areacello volume: volcello,,,,,,ocean,glb,,"longitude, latitude, olevel, time",area: mean where sea time: mean,phycalc,phycalc_tavg-l-hxy-sea
926,Omon.phycalcos,phycalcos,Surface Mole Concentration of Calcareous Phytoplankton Expressed as Carbon in Sea Water,carbon concentration from calcareous (calcite-producing) phytoplankton component alone,"longitude, latitude, time",Global field (single level),,time-intv,area: mean where sea time: mean,area: areacello,,,,,,ocean,glb,,"longitude, latitude, time",area: mean where sea time: mean,phycalcos,phycalcos_tavg-u-hxy-sea
927,Oday.phycdiat,phycdiat,Carbon concentration of diatoms,"Mole Concentration of Diatoms Expressed as Carbon in Sea Water
","longitude, latitude, time",Global field (single level),,time-intv,area: mean where sea time: mean,area: areacello volume: volcello,,,,,,ocean,glb,,"longitude, latitude, time",area: mean where sea time: mean,phycdiat,phycdiat_tavg-u-hxy-sea
928,Oday.phycdiaz,phycdiaz,Carbon concentration of diazotrophs,"Mole Concentration of Diazotrophs Expressed as Carbon in Sea Water
","longitude, latitude, time",Global field (single level),,time-intv,area: mean where sea time: mean,area: areacello volume: volcello,,,,,,ocean,glb,,"longitude, latitude, time",area: mean where sea time: mean,phycdiaz,phycdiaz_tavg-u-hxy-sea
929,Oday.phycmisc,phycmisc,Carbon concentration of miscellaneous phytoplankton,"Mole Concentration of Miscellaneous Phytoplankton Expressed as Carbon in Sea Water
","longitude, latitude, time",Global field (single level),,time-intv,area: mean where sea time: mean,area: areacello volume: volcello,,,,,,ocean,glb,,"longitude, latitude, time",area: mean where sea time: mean,phycmisc,phycmisc_tavg-u-hxy-sea
930,Oday.phycnano,phycnano,Carbon concentration of nanophytoplankton,Mole Concentration of Nanophytoplankton Expressed as Carbon in Sea Water,"longitude, latitude, time",Global field (single level),,time-intv,area: mean where sea time: mean,area: areacello volume: volcello,,,,,,ocean,glb,,"longitude, latitude, time",area: mean where sea time: mean,phycnano,phycnano_tavg-u-hxy-sea
931,Oday.phycos,phycos,Sea Surface Phytoplankton Carbon Concentration,sum of phytoplankton organic carbon component concentrations at the sea surface,"longitude, latitude, time",Global field (single level),,time-intv,area: mean where sea time: mean,area: areacello,"""os"" indicated by suffix and recorded in dimension","longitude, latitude, time, depth0m",,phyco,,ocean,glb,,"longitude, latitude, time, depth0m",area: mean where sea time: mean,phyco,phyco_tavg-z0m-hxy-sea
932,Omon.phycos,phycos,Sea Surface Phytoplankton Carbon Concentration,"sum of phytoplankton carbon component concentrations.  In most (all?) cases this is the sum of phycdiat and phycmisc (i.e., ""Diatom Carbon Concentration"" and ""Non-Diatom Phytoplankton Carbon Concentration""","longitude, latitude, time",Global field (single level),,time-intv,area: mean where sea time: mean,area: areacello,"""os"" indicated by suffix and recorded in dimension","longitude, latitude, time, depth0m",,phyco,,ocean,glb,,"longitude, latitude, time, depth0m",area: mean where sea time: mean,phyco,phyco_tavg-z0m-hxy-sea
933,Oday.phycpico,phycpico,Carbon concentration of picophytoplankton,"Mole Concentration of Picophytoplankton Expressed as Carbon in Sea Water
","longitude, latitude, time",Global field (single level),,time-intv,area: mean where sea time: mean,area: areacello volume: volcello,"is this at the surface or a function of olevel?  Should name be ""phycpico"" or ""phypico"", as in Omon.phypicoos?",??,??,,,ocean,glb,,??,??,phycpico,phycpico_ti-u-hm-u
934,Omon.phydiat,phydiat,Mole Concentration of Diatoms Expressed as Carbon in Sea Water,carbon from the diatom phytoplankton component concentration alone,"longitude, latitude, olevel, time",Global ocean field on model levels,,time-intv,area: mean where sea time: mean,area: areacello volume: volcello,,,,,,ocean,glb,,"longitude, latitude, olevel, time",area: mean where sea time: mean,phydiat,phydiat_tavg-l-hxy-sea
935,Omon.phydiatos,phydiatos,Surface Mole Concentration of Diatoms Expressed as Carbon in Sea Water,carbon from the diatom phytoplankton component concentration alone,"longitude, latitude, time",Global field (single level),,time-intv,area: mean where sea time: mean,area: areacello,"""os"" indicated by suffix and recorded in dimension","longitude, latitude, time, depth0m",,phydiat,,ocean,glb,,"longitude, latitude, time, depth0m",area: mean where sea time: mean,phydiat,phydiat_tavg-z0m-hxy-sea
936,Omon.phydiaz,phydiaz,Mole Concentration of Diazotrophs Expressed as Carbon in Sea Water,carbon concentration from the diazotrophic phytoplankton component alone,"longitude, latitude, olevel, time",Global ocean field on model levels,,time-intv,area: mean where sea time: mean,area: areacello volume: volcello,,,,,,ocean,glb,,"longitude, latitude, olevel, time",area: mean where sea time: mean,phydiaz,phydiaz_tavg-l-hxy-sea
937,Omon.phydiazos,phydiazos,Surface Mole Concentration of Diazotrophs Expressed as Carbon in Sea Water,carbon concentration from the diazotrophic phytoplankton component alone,"longitude, latitude, time",Global field (single level),,time-intv,area: mean where sea time: mean,area: areacello,"""os"" indicated by suffix and recorded in dimension","longitude, latitude, time, depth0m",,phydiaz,,ocean,glb,,"longitude, latitude, time, depth0m",area: mean where sea time: mean,phydiaz,phydiaz_tavg-z0m-hxy-sea
938,Omon.phymisc,phymisc,Mole Concentration of Miscellaneous Phytoplankton Expressed as Carbon in Sea Water,carbon concentration from additional phytoplankton component alone,"longitude, latitude, olevel, time",Global ocean field on model levels,,time-intv,area: mean where sea time: mean,area: areacello volume: volcello,,,,,,ocean,glb,,"longitude, latitude, olevel, time",area: mean where sea time: mean,phymisc,phymisc_tavg-l-hxy-sea
939,Omon.phymiscos,phymiscos,Surface Mole Concentration of Miscellaneous Phytoplankton Expressed as Carbon in Sea Water,carbon concentration from additional phytoplankton component alone,"longitude, latitude, time",Global field (single level),,time-intv,area: mean where sea time: mean,area: areacello,"""os"" indicated by suffix and recorded in dimension","longitude, latitude, time, depth0m",,phymisc,,ocean,glb,,"longitude, latitude, time, depth0m",area: mean where sea time: mean,phymisc,phymisc_tavg-z0m-hxy-sea
940,Omon.phypico,phypico,Mole Concentration of Picophytoplankton Expressed as Carbon in Sea Water,carbon concentration from the picophytoplankton (<2 um) component alone,"longitude, latitude, olevel, time",Global ocean field on model levels,,time-intv,area: mean where sea time: mean,area: areacello volume: volcello,,,,,,ocean,glb,,"longitude, latitude, olevel, time",area: mean where sea time: mean,phypico,phypico_tavg-l-hxy-sea
941,Omon.phypicoos,phypicoos,Surface Mole Concentration of Picophytoplankton Expressed as Carbon in Sea Water,carbon concentration from the picophytoplankton (<2 um) component alone,"longitude, latitude, time",Global field (single level),,time-intv,area: mean where sea time: mean,area: areacello,"""os"" indicated by suffix and recorded in dimension","longitude, latitude, time, depth0m",,phypico,,ocean,glb,,"longitude, latitude, time, depth0m",area: mean where sea time: mean,phypico,phypico_tavg-z0m-hxy-sea
942,Omon.po4,po4,Total Dissolved Inorganic Phosphorus Concentration,"Mole concentration means number of moles per unit volume, also called ""molarity"", and is used in the construction ""mole_concentration_of_X_in_Y"", where X is a material constituent of Y. A chemical or biological species denoted by X may be described by a single term such as ""nitrogen"" or a phrase such as ""nox_expressed_as_nitrogen"". ""Dissolved inorganic phosphorus"" means the sum of all inorganic phosphorus in solution (including phosphate, hydrogen phosphate, dihydrogen phosphate, and phosphoric acid).","longitude, latitude, olevel, time",Global ocean field on model levels,,time-intv,area: mean where sea time: mean,area: areacello volume: volcello,,,,,,ocean,glb,,"longitude, latitude, olevel, time",area: mean where sea time: mean,po4,po4_tavg-l-hxy-sea
943,AERmon.pod0,pod0,Phytotoxic Ozone Dose,Accumulated stomatal ozone flux over the threshold of 0 mol m-2 s-1; Computation: Time Integral of (hourly above canopy ozone concentration * stomatal conductance * Rc/(Rb+Rc) ),"longitude, latitude, time",Global field (single level),,time-intv,area: mean time: sum,area: areacella," Wouldn't it be better to record a rate rather than a time-integral?  Is ""sum over time"" right?  Shouldn't it be a sum with samples weighted by (multiplied by) the length of the time-interval of the sample? ",,area: mean time: sum (with each sample weighted by the time-interval it represents) ,,,atmosphere,glb,,"longitude, latitude, time",area: mean time: sum (with each sample weighted by the time-interval it represents) ,pod0,pod0_tsum-u-hxy-u
